name,score,row_ix,dimension,subj_id,instructions
pierce,0.0,1,Orientation,GEMS177,"The patterned seemed to be that gems with more lines were more valuable than gems with less lines. Additionally, thicker lines appear to be a property of more valuable gems as well."
pierce,1.0,1,Bar width,GEMS177,"The patterned seemed to be that gems with more lines were more valuable than gems with less lines. Additionally, thicker lines appear to be a property of more valuable gems as well."
pierce,0.0,2,Orientation,GEMS178,Some gems are more valuable based on there points and also they need to be similar to the gems you previously picked.
pierce,0.0,2,Bar width,GEMS178,Some gems are more valuable based on there points and also they need to be similar to the gems you previously picked.
pierce,0.0,3,Orientation,GEMS179,Stick with the same few gems and keep clicking them I think it is better to do that then go completely random.
pierce,0.0,3,Bar width,GEMS179,Stick with the same few gems and keep clicking them I think it is better to do that then go completely random.
pierce,,4,Orientation,GEMS180,The more lines they had the more valuable the gem was. Look at the pattern of the gem and see how many lines that it has.
pierce,1.0,4,Bar width,GEMS180,The more lines they had the more valuable the gem was. Look at the pattern of the gem and see how many lines that it has.
pierce,3.0,5,Orientation,GEMS181,"the more fine the lines are on the gems up to a certain point, the more valuable it is. The more horizontal the lines are as well make it more valuable."
pierce,3.0,5,Bar width,GEMS181,"the more fine the lines are on the gems up to a certain point, the more valuable it is. The more horizontal the lines are as well make it more valuable."
pierce,0.0,6,Orientation,GEMS182,"For certain gems, the one's that have the most lines are more valuable than the others generally. It's very hard to tell the value of gems after so many lines."
pierce,1.0,6,Bar width,GEMS182,"For certain gems, the one's that have the most lines are more valuable than the others generally. It's very hard to tell the value of gems after so many lines."
pierce,3.0,7,Orientation,GEMS183,"It took me a while to find a pattern, but what I found is that a gem becomes more valuable when it is rotated clockwise. To clairfy, when the bars more and more to the right. Howeve, I found that when it got to the center, it went the other way, so counterclockwise."
pierce,0.0,7,Bar width,GEMS183,"It took me a while to find a pattern, but what I found is that a gem becomes more valuable when it is rotated clockwise. To clairfy, when the bars more and more to the right. Howeve, I found that when it got to the center, it went the other way, so counterclockwise."
pierce,0.0,8,Orientation,GEMS184,"Honestly, I did not really catch onto what makes certain gems worth more than the other gems. Some thoughts I had was maybe the strips of the previous gem selected had some correlation to the worth of the next gem. I also thought maybe the overall position if it was 1st,2nd,3rd,etc. might have had something to do with it, but none of these theories I had was backed with any evidence from the game."
pierce,0.0,8,Bar width,GEMS184,"Honestly, I did not really catch onto what makes certain gems worth more than the other gems. Some thoughts I had was maybe the strips of the previous gem selected had some correlation to the worth of the next gem. I also thought maybe the overall position if it was 1st,2nd,3rd,etc. might have had something to do with it, but none of these theories I had was backed with any evidence from the game."
pierce,1.0,9,Orientation,GEMS185,Gems with more lines are more valuable to start. You want to go for tilted lines with a few lines thicker than the others. But at the end it's  totally random just to get in your head.
pierce,1.0,9,Bar width,GEMS185,Gems with more lines are more valuable to start. You want to go for tilted lines with a few lines thicker than the others. But at the end it's  totally random just to get in your head.
pierce,0.0,10,Orientation,GEMS186,"i don't think there are any tips. if there are more bricks appear in the screen just choose the one that is different. with more and more line in the one circle, choose the one that is similiar to other"
pierce,0.0,10,Bar width,GEMS186,"i don't think there are any tips. if there are more bricks appear in the screen just choose the one that is different. with more and more line in the one circle, choose the one that is similiar to other"
pierce,0.0,11,Orientation,GEMS187,"The valued gems have thin stipes on them, but once the stripes are too thin the value decreases. The direction of stripes does not matter."
pierce,3.0,11,Bar width,GEMS187,"The valued gems have thin stipes on them, but once the stripes are too thin the value decreases. The direction of stripes does not matter."
pierce,0.0,12,Orientation,GEMS188,"Look for the gems that have the biggest boarders on the outside, where the lines are the fattest. These are the more valuable gems."
pierce,1.0,12,Bar width,GEMS188,"Look for the gems that have the biggest boarders on the outside, where the lines are the fattest. These are the more valuable gems."
pierce,0.0,13,Orientation,GEMS189,"I think that the size of the stripes, the thickness of the black and white stripes, and how zoomed in or out the gem is are determinants of what makes some gems more valuable than others. Also, at the end, I started to notice how if I collected a gem with a white line on the top, another valuable gem would be black on the top. Also, I realized that if a gem looks like the one you previously collect, it is mostly worth 0 points."
