name,score,row_ix,dimension,subj_id,instructions
Annie,0,1,Orientation,GEMS177,"The patterned seemed to be that gems with more lines were more valuable than gems with less lines. Additionally, thicker lines appear to be a property of more valuable gems as well."
Vanessa Chavez,0,1,Orientation,GEMS177,"The patterned seemed to be that gems with more lines were more valuable than gems with less lines. Additionally, thicker lines appear to be a property of more valuable gems as well."
Elizabeth,0,1,Orientation,GEMS177,"The patterned seemed to be that gems with more lines were more valuable than gems with less lines. Additionally, thicker lines appear to be a property of more valuable gems as well."
Annie,1,1,Bar width,GEMS177,"The patterned seemed to be that gems with more lines were more valuable than gems with less lines. Additionally, thicker lines appear to be a property of more valuable gems as well."
Vanessa Chavez,1,1,Bar width,GEMS177,"The patterned seemed to be that gems with more lines were more valuable than gems with less lines. Additionally, thicker lines appear to be a property of more valuable gems as well."
Elizabeth,1,1,Bar width,GEMS177,"The patterned seemed to be that gems with more lines were more valuable than gems with less lines. Additionally, thicker lines appear to be a property of more valuable gems as well."
Annie,0,2,Orientation,GEMS178,Some gems are more valuable based on there points and also they need to be similar to the gems you previously picked.
Vanessa Chavez,0,2,Orientation,GEMS178,Some gems are more valuable based on there points and also they need to be similar to the gems you previously picked.
Elizabeth,0,2,Orientation,GEMS178,Some gems are more valuable based on there points and also they need to be similar to the gems you previously picked.
Annie,0,2,Bar width,GEMS178,Some gems are more valuable based on there points and also they need to be similar to the gems you previously picked.
Vanessa Chavez,0,2,Bar width,GEMS178,Some gems are more valuable based on there points and also they need to be similar to the gems you previously picked.
Elizabeth,0,2,Bar width,GEMS178,Some gems are more valuable based on there points and also they need to be similar to the gems you previously picked.
Annie,0,3,Orientation,GEMS179,Stick with the same few gems and keep clicking them I think it is better to do that then go completely random.
Vanessa Chavez,0,3,Orientation,GEMS179,Stick with the same few gems and keep clicking them I think it is better to do that then go completely random.
Elizabeth,0,3,Orientation,GEMS179,Stick with the same few gems and keep clicking them I think it is better to do that then go completely random.
